Epoch,Loss,LR
1,1.61025,0.001
2,0.0442522,0.000999751
3,0.0180557,0.000999003
4,0.00805108,0.000997759
5,0.00469531,0.000996018
6,0.00332885,0.000993782
7,0.00209843,0.000991055
8,0.00161409,0.000987838
9,0.00149214,0.000984135
10,0.00124147,0.000979949
11,0.00213059,0.000975285
12,0.00163413,0.000970148
13,0.00178516,0.000964542
14,0.00261209,0.000958474
15,0.00443611,0.000951949
16,0.00160844,0.000944974
17,0.00103498,0.000937556
18,0.0018896,0.000929702
19,0.000868966,0.000921421
20,0.0010929,0.00091272
21,0.00385069,0.000903609
22,0.000968828,0.000894096
23,0.000392171,0.000884192
24,0.00053822,0.000873906
25,0.00072607,0.000863248
26,0.000556104,0.00085223
27,0.00025055,0.000840862
28,0.000300724,0.000829156
29,0.000393274,0.000817124
30,0.000477316,0.000804777
31,0.000137344,0.000792128
32,0.000119167,0.000779191
33,9.27577e-05,0.000765977
34,7.85047e-05,0.0007525
35,5.09774e-05,0.000738774
36,4.38689e-05,0.000724813
37,4.03479e-05,0.00071063
38,4.24717e-05,0.000696241
39,4.27344e-05,0.000681659
40,4.16619e-05,0.000666899
41,3.88307e-05,0.000651976
42,4.0451e-05,0.000636905
43,4.11093e-05,0.000621701
44,3.8708e-05,0.000606379
45,3.63306e-05,0.000590956
46,3.29468e-05,0.000575446
47,3.08294e-05,0.000559865
48,3.03451e-05,0.000544229
49,2.80173e-05,0.000528553
50,2.66053e-05,0.000512854
51,2.48258e-05,0.000497146
52,2.3449e-05,0.000481447
53,2.37438e-05,0.000465771
54,2.36459e-05,0.000450135
55,2.40963e-05,0.000434554
56,2.11752e-05,0.000419044
57,2.14818e-05,0.000403621
58,2.27606e-05,0.000388299
59,2.13049e-05,0.000373095
60,2.19731e-05,0.000358024
61,2.2374e-05,0.000343101
62,2.15771e-05,0.000328341
63,2.06189e-05,0.000313759
64,2.21011e-05,0.00029937
65,2.05224e-05,0.000285187
66,2.1731e-05,0.000271226
67,2.02456e-05,0.0002575
68,2.1206e-05,0.000244023
69,2.00399e-05,0.00023081
70,1.91471e-05,0.000217872
71,1.99254e-05,0.000205223
72,2.00576e-05,0.000192876
73,1.91999e-05,0.000180844
74,1.90977e-05,0.000169138
75,1.98068e-05,0.00015777
76,1.87318e-05,0.000146752
77,1.87289e-05,0.000136094
78,1.8623e-05,0.000125808
79,1.8533e-05,0.000115904
80,1.87287e-05,0.000106391
81,1.85686e-05,9.72801e-05
82,1.79285e-05,8.85795e-05
83,1.82142e-05,8.02982e-05
84,1.78884e-05,7.24446e-05
85,1.76831e-05,6.50264e-05
86,1.77124e-05,5.80514e-05
87,1.81287e-05,5.15263e-05
88,1.7448e-05,4.54579e-05
89,1.77133e-05,3.98521e-05
90,1.71899e-05,3.47148e-05
91,1.74804e-05,3.00509e-05
92,1.73672e-05,2.58654e-05
93,1.70304e-05,2.21623e-05
94,1.70941e-05,1.89453e-05
95,1.70707e-05,1.62177e-05
96,1.70039e-05,1.39824e-05
97,1.71026e-05,1.22414e-05
98,1.69279e-05,1.09966e-05
99,1.68171e-05,1.02492e-05
100,1.69386e-05,1e-05
